tD/rD2	pD	pD'	pD/2pD'
489.7788194	3.501771483	0.499744848	3.50355936
501.1872336	3.5132786	0.499750654	3.51503152
512.861384	3.52478585	0.499756329	3.52650447
524.8074603	3.536293229	0.499761874	3.53797820
537.0317964	3.547800734	0.499767293	3.54945270
549.5408739	3.559308362	0.499772589	3.56092795
562.3413252	3.570816111	0.499777764	3.57240394
575.4399373	3.582323978	0.499782822	3.58388066
588.8436554	3.59383196	0.499787765	3.59535808
602.5595861	3.605340054	0.499792595	3.60683621
616.5950019	3.616848259	0.499797315	3.61831502
630.9573445	3.62835657	0.499801928	3.62979449
645.654229	3.639864987	0.499806435	3.64127463
660.693448	3.651373506	0.499810841	3.65275541
676.0829754	3.662882126	0.499815146	3.66423683
691.8309709	3.674390844	0.499819353	3.67571886
707.9457844	3.685899657	0.499823464	3.68720151
724.4359601	3.697408564	0.499827482	3.69868475
741.3102413	3.708917563	0.499831408	3.71016857
758.577575	3.720426651	0.499835245	3.72165297
776.2471166	3.731935826	0.499838995	3.73313794
794.3282347	3.743445086	0.499842659	3.74462345
812.8305162	3.75495443	0.49984624	3.75610951
831.7637711	3.766463856	0.49984974	3.76759610
851.1380382	3.777973361	0.499853159	3.77908321
870.96359	3.789482944	0.499856501	3.79057083
891.2509381	3.800992603	0.499859767	3.80205895
912.0108394	3.812502336	0.499862959	3.81354756
933.2543008	3.824012142	0.499866078	3.82503666
954.992586	3.835522019	0.499869126	3.83652622
977.237221	3.847031966	0.499872105	3.84801625
1000	3.85854198	0.499875016	3.85950674
